date,views,title
2018-01-01,4906,Chess
2018-01-02,5270,Chess
2018-01-03,5040,Chess
2018-01-04,5346,Chess
2018-01-05,5599,Chess
2018-01-06,4624,Chess
2018-01-07,5209,Chess
2018-01-08,4992,Chess
2018-01-09,5317,Chess
2018-01-10,5587,Chess
2018-01-11,5083,Chess
2018-01-12,5035,Chess
2018-01-13,4916,Chess
2018-01-14,5412,Chess
2018-01-15,5505,Chess
2018-01-16,5588,Chess
2018-01-17,5355,Chess
2018-01-18,6479,Chess
2018-01-19,5144,Chess
2018-01-20,4892,Chess
2018-01-21,5371,Chess
2018-01-22,5490,Chess
2018-01-23,5398,Chess
2018-01-24,5086,Chess
2018-01-25,4503,Chess
2018-01-26,5191,Chess
2018-01-27,4903,Chess
2018-01-28,5422,Chess
2018-01-29,5480,Chess
2018-01-30,5398,Chess
2018-01-31,5610,Chess
2018-02-01,5129,Chess
2018-02-02,5053,Chess
2018-02-03,4866,Chess
2018-02-04,5067,Chess
2018-02-05,4837,Chess
2018-02-06,5020,Chess
2018-02-07,5043,Chess
2018-02-08,5170,Chess
2018-02-09,4765,Chess
2018-02-10,4757,Chess
2018-02-11,5515,Chess
2018-02-12,4924,Chess
2018-02-13,5169,Chess
2018-02-14,4753,Chess
2018-02-15,4735,Chess
2018-02-16,4522,Chess
2018-02-17,4747,Chess
2018-02-18,5670,Chess
2018-02-19,5281,Chess
2018-02-20,5327,Chess
2018-02-21,5751,Chess
2018-02-22,5048,Chess
2018-02-23,4748,Chess
2018-02-24,4718,Chess
2018-02-25,5090,Chess
2018-02-26,5023,Chess
2018-02-27,5120,Chess
2018-02-28,4969,Chess
2018-03-01,4846,Chess
2018-03-02,4697,Chess
2018-03-03,4852,Chess
2018-03-04,5061,Chess
2018-03-05,4958,Chess
2018-03-06,4935,Chess
2018-03-07,4828,Chess
2018-03-08,5137,Chess
2018-03-09,4715,Chess
2018-03-10,4688,Chess
2018-03-11,5429,Chess
2018-03-12,5051,Chess
2018-03-13,5007,Chess
2018-03-14,5468,Chess
2018-03-15,4946,Chess
2018-03-16,4736,Chess
2018-03-17,4396,Chess
2018-03-18,4876,Chess
2018-03-19,5218,Chess
2018-03-20,4971,Chess
2018-03-21,5072,Chess
2018-03-22,4836,Chess
2018-03-23,4536,Chess
2018-03-24,4499,Chess
2018-03-25,4697,Chess
2018-03-26,4852,Chess
2018-03-27,5007,Chess
2018-03-28,4590,Chess
2018-03-29,4583,Chess
2018-03-30,4653,Chess
2018-03-31,4591,Chess
2018-04-01,4738,Chess
2018-04-02,4976,Chess
2018-04-03,4801,Chess
2018-04-04,4393,Chess
2018-04-05,4465,Chess
2018-04-06,4228,Chess
2018-04-07,4390,Chess
2018-04-08,5000,Chess
2018-04-09,4457,Chess
2018-04-10,4612,Chess
2018-04-11,4651,Chess
2018-04-12,4500,Chess
2018-04-13,4296,Chess
2018-04-14,4279,Chess
2018-04-15,4778,Chess
2018-04-16,4631,Chess
2018-04-17,4504,Chess
2018-04-18,4224,Chess
2018-04-19,4204,Chess
2018-04-20,4256,Chess
2018-04-21,4114,Chess
2018-04-22,4331,Chess
2018-04-23,4552,Chess
2018-04-24,4498,Chess
2018-04-25,4487,Chess
2018-04-26,5585,Chess
2018-04-27,3910,Chess
2018-04-28,3947,Chess
2018-04-29,4310,Chess
2018-04-30,4198,Chess
2018-05-01,4209,Chess
2018-05-02,4231,Chess
2018-05-03,4115,Chess
2018-05-04,3928,Chess
2018-05-05,4049,Chess
2018-05-06,4040,Chess
2018-05-07,4377,Chess
2018-05-08,4635,Chess
2018-05-09,4260,Chess
2018-05-10,4559,Chess
2018-05-11,4214,Chess
2018-05-12,4180,Chess
